Wavelength_nm,SENS-i_lab_F1_CL100_D,SENS-i_lab_F2_CL100_D,SENS-i_lab_F3_CL100_D,SENS-i_lab_L1_WL100_D,SENS-i_lab_L2_WL100_D,SENS-i_lab_L3_WL100_D,SENS-i_lab_I1_WL100_D,SENS-i_lab_I2_WL100_D,SENS-i_lab_I3_WL100_D,SENS-i_lab_L1_WL100_C,SENS-i_lab_L2_WL100_C,SENS-i_lab_L3_WL100_C,SENS-i_lab_L1_WL50_C,SENS-i_lab_L2_WL50_C,SENS-i_lab_L3_WL50_C,SENS-i_lab_L1_NL100_C,SENS-i_lab_L2_NL100_C,SENS-i_lab_L3_NL100_C,SENS-i_lab_L1_NL50_C,SENS-i_lab_L2_NL50_C,SENS-i_lab_L3_NL50_C,SENS-i_lab_L1_CL100_C,SENS-i_lab_L2_CL100_C,SENS-i_lab_L3_CL100_C,SENS-i_lab_L1_CL50_C,SENS-i_lab_L2_CL50_C,SENS-i_lab_L3_CL50_C
380,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,4.90E-05,7.10E-05,6.10E-05,0,0,0,0.00013,2.80E-05,3.50E-05,0,1.80E-05,0,0,0,5.00E-06,7.00E-06,8.00E-06,1.90E-05,1.80E-05,5.00E-06,4.00E-06,4.00E-05,4.80E-05,7.60E-05,0,0,1.60E-05
395,5.40E-05,7.30E-05,6.90E-05,0,0,0,0.000124,3.60E-05,4.00E-05,2.20E-05,3.20E-05,0,0,0,0,1.70E-05,1.00E-05,2.50E-05,1.10E-05,1.10E-05,9.00E-06,3.70E-05,5.50E-05,5.70E-05,1.10E-05,6.00E-06,1.30E-05
400,6.90E-05,8.30E-05,8.60E-05,0,7.00E-06,0,0.000115,4.80E-05,6.10E-05,4.00E-05,4.40E-05,1.50E-05,8.00E-06,0,8.00E-06,3.40E-05,1.50E-05,3.90E-05,1.10E-05,1.20E-05,1.50E-05,4.00E-05,5.80E-05,4.00E-05,2.10E-05,2.20E-05,2.00E-05
405,9.60E-05,9.00E-05,0.000101,0,1.70E-05,4.00E-06,9.80E-05,6.10E-05,8.50E-05,4.80E-05,5.20E-05,3.20E-05,1.60E-05,3.00E-06,1.30E-05,4.60E-05,3.00E-05,5.00E-05,2.00E-05,1.20E-05,1.90E-05,5.10E-05,6.50E-05,3.00E-05,2.40E-05,3.50E-05,2.80E-05
410,0.000132,0.000104,0.000116,1.00E-05,1.60E-05,1.50E-05,8.20E-05,7.50E-05,0.000105,4.90E-05,5.80E-05,4.50E-05,2.00E-05,6.00E-06,1.70E-05,5.30E-05,5.70E-05,6.00E-05,3.20E-05,1.50E-05,2.40E-05,7.30E-05,7.60E-05,4.10E-05,2.90E-05,4.80E-05,4.00E-05
415,0.000181,0.000142,0.000143,1.10E-05,5.00E-06,2.10E-05,8.10E-05,9.50E-05,0.000118,5.00E-05,6.80E-05,5.00E-05,2.40E-05,9.00E-06,2.20E-05,6.40E-05,8.60E-05,6.90E-05,3.70E-05,2.30E-05,3.40E-05,0.000107,9.10E-05,7.70E-05,4.30E-05,6.10E-05,5.70E-05
420,0.000249,0.000216,0.000202,1.40E-05,0,3.20E-05,0.000101,0.000126,0.000135,6.30E-05,9.00E-05,5.70E-05,3.80E-05,1.90E-05,3.30E-05,9.00E-05,0.000119,9.20E-05,4.20E-05,4.00E-05,5.30E-05,0.000161,0.000123,0.000141,7.20E-05,7.90E-05,8.10E-05
425,0.000334,0.000319,0.000296,2.90E-05,1.80E-05,4.90E-05,0.000136,0.00016,0.000164,9.20E-05,0.000122,8.00E-05,5.90E-05,4.00E-05,5.50E-05,0.000142,0.000161,0.00014,5.90E-05,6.70E-05,8.30E-05,0.000243,0.000192,0.000226,0.000116,0.000109,0.000118
430,0.000416,0.000422,0.000398,5.40E-05,5.40E-05,6.80E-05,0.000175,0.000187,0.000196,0.000137,0.000163,0.000124,8.20E-05,7.10E-05,8.30E-05,0.000228,0.000225,0.000223,9.70E-05,0.000106,0.000123,0.000359,0.000313,0.000342,0.000175,0.000157,0.000173
435,0.000468,0.000488,0.000468,8.70E-05,9.40E-05,8.60E-05,0.000213,0.000204,0.000221,0.000194,0.000212,0.000188,0.000103,0.000108,0.000113,0.000344,0.000316,0.000339,0.000159,0.000161,0.00017,0.000513,0.000481,0.000498,0.00025,0.00023,0.000249
440,0.000475,0.0005,0.000482,0.000122,0.000122,0.000101,0.000253,0.000215,0.000235,0.000256,0.000264,0.000258,0.000123,0.000146,0.000141,0.000471,0.000427,0.000474,0.000232,0.000225,0.000222,0.00069,0.000673,0.000688,0.000338,0.000325,0.000339
445,0.000455,0.000472,0.000456,0.000152,0.000138,0.000113,0.000291,0.000226,0.000243,0.000309,0.000313,0.000312,0.000145,0.000173,0.000159,0.000582,0.000538,0.000597,0.000299,0.000284,0.000272,0.000861,0.000849,0.000872,0.000425,0.000423,0.000426
450,0.000429,0.000433,0.000424,0.000168,0.000148,0.000124,0.000318,0.000243,0.000252,0.000336,0.000343,0.000335,0.000163,0.000184,0.000164,0.000645,0.00062,0.000671,0.000339,0.000316,0.000306,0.000984,0.000959,0.000994,0.00049,0.000494,0.000482
455,0.00041,0.000405,0.000407,0.000168,0.000152,0.000131,0.000327,0.000264,0.000261,0.000328,0.000347,0.000324,0.000169,0.000177,0.000156,0.000645,0.000647,0.000676,0.000345,0.000314,0.000314,0.001023,0.000975,0.001014,0.000513,0.000518,0.000489
460,0.00039,0.000387,0.000403,0.000151,0.000148,0.000132,0.000322,0.000288,0.000271,0.000291,0.000327,0.00029,0.000158,0.000155,0.000142,0.000589,0.000611,0.000614,0.000317,0.000284,0.000293,0.000966,0.0009,0.000933,0.000485,0.000488,0.00045
465,0.000364,0.00037,0.000398,0.000128,0.00014,0.000127,0.000317,0.000312,0.000286,0.000245,0.000296,0.00025,0.000137,0.000125,0.000124,0.000505,0.000537,0.000518,0.000271,0.000241,0.000255,0.000844,0.000779,0.000797,0.000418,0.000423,0.000389
470,0.000339,0.00035,0.000385,0.000107,0.00013,0.000116,0.000321,0.000333,0.000315,0.000208,0.000263,0.000216,0.000114,9.90E-05,0.000107,0.000424,0.000451,0.000423,0.000222,0.000199,0.000214,0.000701,0.000658,0.000656,0.000338,0.000347,0.000328
475,0.000327,0.000333,0.000366,9.30E-05,0.000122,0.000105,0.000334,0.000349,0.000353,0.000189,0.000234,0.000195,9.80E-05,8.50E-05,9.40E-05,0.000364,0.000378,0.000353,0.000183,0.000169,0.000185,0.000577,0.000565,0.000545,0.00027,0.000281,0.000282
480,0.000335,0.000327,0.000349,9.00E-05,0.000112,0.000101,0.000353,0.000366,0.000391,0.00019,0.000214,0.000193,9.20E-05,8.70E-05,9.10E-05,0.000332,0.000329,0.000316,0.000157,0.000155,0.000167,0.000495,0.000503,0.000477,0.00023,0.000235,0.00025
485,0.000346,0.000326,0.000332,9.60E-05,0.000104,0.000106,0.000372,0.000383,0.000418,0.000208,0.000207,0.000207,9.90E-05,9.90E-05,0.000101,0.000321,0.000307,0.000306,0.000145,0.000155,0.000161,0.000454,0.000464,0.00045,0.000216,0.000209,0.000234
490,0.000344,0.000321,0.000312,0.00011,0.000107,0.000119,0.000387,0.000396,0.00043,0.000241,0.000216,0.000234,0.000116,0.000116,0.00012,0.000328,0.000309,0.000316,0.000146,0.000162,0.000164,0.000444,0.000444,0.000456,0.000217,0.000204,0.000232
495,0.000324,0.000304,0.000285,0.000131,0.000125,0.000136,0.000397,0.000406,0.000435,0.000283,0.000244,0.000269,0.00014,0.000135,0.000139,0.000353,0.000334,0.000337,0.00016,0.000172,0.000175,0.000457,0.000443,0.000481,0.000228,0.000216,0.000245
500,0.000298,0.000279,0.000259,0.000155,0.000153,0.000155,0.00041,0.000418,0.000441,0.000325,0.00029,0.000306,0.000166,0.000155,0.000153,0.000393,0.000376,0.000371,0.000186,0.000185,0.000195,0.000493,0.000466,0.000519,0.000252,0.000243,0.000267
505,0.000272,0.000251,0.00024,0.000181,0.000179,0.000173,0.000434,0.000441,0.000454,0.000362,0.000345,0.000345,0.00019,0.000176,0.000164,0.00044,0.000426,0.000413,0.000215,0.000202,0.000217,0.000546,0.000509,0.00056,0.000287,0.000274,0.000287
510,0.000244,0.00023,0.00023,0.000204,0.000198,0.000188,0.000472,0.000474,0.000473,0.000392,0.000398,0.000386,0.000209,0.000196,0.000177,0.000485,0.000473,0.000457,0.000241,0.000222,0.000236,0.000606,0.00056,0.000596,0.000322,0.0003,0.000302
515,0.000218,0.000223,0.000235,0.000224,0.000214,0.000199,0.000517,0.000508,0.000496,0.00042,0.000441,0.000427,0.000224,0.000212,0.000191,0.000524,0.00051,0.000498,0.00026,0.000243,0.000252,0.000658,0.000609,0.000625,0.00035,0.00032,0.000315
520,0.000202,0.00023,0.000252,0.000241,0.000229,0.000207,0.000557,0.000535,0.00052,0.000446,0.000475,0.000463,0.000238,0.000225,0.000207,0.000558,0.000537,0.00053,0.000275,0.000263,0.000266,0.000695,0.00065,0.000644,0.000364,0.000335,0.000331
525,0.000234,0.000273,0.0003,0.000255,0.000244,0.000214,0.000582,0.000551,0.000545,0.000471,0.000504,0.000489,0.000252,0.000236,0.000226,0.000587,0.000558,0.000555,0.000289,0.000278,0.000279,0.000716,0.000685,0.000659,0.000369,0.00035,0.000351
530,0.00034,0.000374,0.000399,0.000264,0.000252,0.000223,0.000595,0.000562,0.000569,0.000494,0.000532,0.000509,0.000265,0.000249,0.000248,0.000611,0.000576,0.000576,0.000303,0.00029,0.000292,0.000728,0.000715,0.000673,0.000371,0.000369,0.000367
535,0.00051,0.000529,0.000544,0.000265,0.000253,0.000233,0.0006,0.000574,0.00059,0.000517,0.000557,0.000529,0.000275,0.000264,0.000267,0.000623,0.000591,0.000597,0.000313,0.000299,0.000304,0.000739,0.000734,0.000692,0.000376,0.000384,0.000371
540,0.000676,0.000684,0.000684,0.000264,0.000256,0.000244,0.000605,0.000589,0.000607,0.000545,0.000576,0.000554,0.000284,0.000282,0.000282,0.000629,0.000604,0.000618,0.000321,0.000308,0.000315,0.000751,0.000742,0.000716,0.000382,0.000394,0.000368
545,0.000752,0.000757,0.000739,0.000267,0.000264,0.000258,0.000613,0.000605,0.00062,0.000581,0.000591,0.000584,0.000291,0.000299,0.000292,0.000632,0.000617,0.000638,0.000327,0.000317,0.000326,0.000764,0.000742,0.000742,0.000388,0.000398,0.000368
550,0.000697,0.0007,0.000671,0.000274,0.000277,0.00027,0.000624,0.00062,0.000631,0.000623,0.000611,0.000615,0.000305,0.000315,0.000304,0.000644,0.000635,0.000658,0.000334,0.000326,0.000335,0.000778,0.000739,0.000767,0.000392,0.000401,0.000379
555,0.000546,0.000543,0.000511,0.000283,0.000292,0.000281,0.000638,0.000635,0.000644,0.000669,0.000641,0.000644,0.000326,0.000329,0.00032,0.000666,0.000661,0.000679,0.00034,0.000331,0.000339,0.00079,0.000738,0.000786,0.000394,0.000404,0.000397
560,0.000384,0.000364,0.000342,0.000291,0.000304,0.000292,0.000651,0.000654,0.000663,0.000715,0.000682,0.000673,0.000355,0.000348,0.000339,0.000696,0.000693,0.000703,0.000345,0.000334,0.000342,0.0008,0.000743,0.0008,0.000398,0.000406,0.000414
565,0.000276,0.000235,0.00023,0.000299,0.000313,0.000304,0.000665,0.000677,0.000685,0.000754,0.00073,0.000706,0.000383,0.000374,0.000357,0.000724,0.000724,0.000729,0.00035,0.000335,0.000344,0.000806,0.000752,0.000805,0.000401,0.000404,0.000424
570,0.000231,0.000181,0.000194,0.000308,0.000322,0.000318,0.000683,0.000703,0.000708,0.000785,0.00078,0.000744,0.000409,0.000401,0.000372,0.000746,0.000749,0.000749,0.000358,0.000341,0.000348,0.000807,0.000755,0.000799,0.000404,0.000397,0.000423
575,0.000224,0.000181,0.000211,0.000317,0.00033,0.000333,0.000709,0.000729,0.000728,0.000813,0.000829,0.000783,0.000427,0.000421,0.000385,0.000763,0.000766,0.000762,0.000365,0.000353,0.000353,0.000798,0.000748,0.000783,0.000401,0.000387,0.000415
580,0.000228,0.000203,0.000246,0.000327,0.000338,0.000347,0.000741,0.000753,0.000746,0.000844,0.000872,0.00082,0.00044,0.000432,0.000395,0.000776,0.000776,0.000765,0.000368,0.000368,0.00036,0.00078,0.000733,0.000759,0.000393,0.000372,0.000402
585,0.000228,0.000221,0.00027,0.000339,0.000345,0.000356,0.000772,0.000771,0.000763,0.000876,0.000907,0.000854,0.000449,0.000437,0.000404,0.000787,0.000779,0.000763,0.000368,0.000378,0.000367,0.000753,0.000715,0.000731,0.000378,0.000352,0.000386
590,0.000233,0.000237,0.000282,0.000353,0.000353,0.00036,0.000797,0.000782,0.00078,0.000902,0.000939,0.000887,0.00046,0.000441,0.000414,0.00079,0.000773,0.000758,0.000371,0.00038,0.000374,0.000721,0.000697,0.0007,0.000363,0.000332,0.000368
595,0.000255,0.000263,0.000296,0.000369,0.000365,0.000364,0.000815,0.000786,0.000798,0.000921,0.000966,0.000917,0.000473,0.000447,0.000427,0.000782,0.000758,0.000751,0.00038,0.000379,0.000378,0.000688,0.000678,0.000671,0.000351,0.00032,0.000348
600,0.000307,0.000313,0.000333,0.000381,0.000381,0.000369,0.00083,0.00079,0.000815,0.000933,0.000983,0.000936,0.000483,0.000451,0.000441,0.000766,0.000734,0.000741,0.000389,0.000376,0.000378,0.000653,0.000656,0.000649,0.000342,0.000318,0.00033
605,0.000379,0.000384,0.000395,0.000393,0.0004,0.00038,0.000849,0.000802,0.000836,0.000944,0.000985,0.000944,0.00049,0.000454,0.000449,0.00075,0.000712,0.000731,0.000389,0.000373,0.000372,0.00062,0.000633,0.000633,0.000334,0.000322,0.000317
610,0.000442,0.000447,0.000449,0.000408,0.000418,0.000396,0.000873,0.000825,0.000859,0.000952,0.000971,0.000938,0.000492,0.000459,0.000448,0.000736,0.000697,0.000723,0.000377,0.000368,0.000364,0.000594,0.000611,0.000617,0.000325,0.000322,0.000307
615,0.000457,0.000466,0.000457,0.000427,0.000432,0.000413,0.000896,0.000857,0.000882,0.000949,0.000942,0.000924,0.000491,0.000466,0.00044,0.000717,0.000688,0.000714,0.000358,0.00036,0.000355,0.000578,0.000588,0.000592,0.000313,0.000314,0.000297
620,0.000412,0.000429,0.000408,0.000446,0.000441,0.00043,0.000914,0.000895,0.000902,0.00093,0.000902,0.000898,0.000482,0.000467,0.000431,0.000684,0.000674,0.000697,0.000339,0.000347,0.000345,0.000565,0.000557,0.000555,0.000296,0.000295,0.000282
625,0.000325,0.000352,0.000323,0.000458,0.000443,0.000443,0.000931,0.000934,0.000922,0.000891,0.000858,0.000861,0.00046,0.000456,0.000422,0.000642,0.000646,0.000664,0.00032,0.000327,0.000331,0.000543,0.000516,0.000505,0.000272,0.00027,0.000262
630,0.00023,0.00026,0.000231,0.000461,0.000439,0.000449,0.000947,0.00097,0.000947,0.000836,0.000815,0.000817,0.000426,0.000435,0.000408,0.000598,0.000604,0.000612,0.000301,0.0003,0.00031,0.000501,0.000467,0.00045,0.000244,0.000242,0.000238
635,0.00015,0.000173,0.000149,0.000456,0.000431,0.000447,0.000971,0.001001,0.000982,0.000772,0.000773,0.000765,0.000387,0.000404,0.000382,0.000555,0.000555,0.000547,0.000276,0.000266,0.000282,0.000441,0.000417,0.000395,0.000217,0.000214,0.000214
