Wavelength_nm,SENS-i_lab_F1_CL100_D,SENS-i_lab_F2_CL100_D,SENS-i_lab_F3_CL100_D,SENS-i_lab_L1_WL100_D,SENS-i_lab_L2_WL100_D,SENS-i_lab_L3_WL100_D,SENS-i_lab_I1_WL100_D,SENS-i_lab_I2_WL100_D,SENS-i_lab_I3_WL100_D,SENS-i_lab_L1_WL100_C,SENS-i_lab_L2_WL100_C,SENS-i_lab_L3_WL100_C,SENS-i_lab_L1_WL50_C,SENS-i_lab_L2_WL50_C,SENS-i_lab_L3_WL50_C,SENS-i_lab_L1_NL100_C,SENS-i_lab_L2_NL100_C,SENS-i_lab_L3_NL100_C,SENS-i_lab_L1_NL50_C,SENS-i_lab_L2_NL50_C,SENS-i_lab_L3_NL50_C,SENS-i_lab_L1_CL100_C,SENS-i_lab_L2_CL100_C,SENS-i_lab_L3_CL100_C,SENS-i_lab_L1_CL50_C,SENS-i_lab_L2_CL50_C,SENS-i_lab_L3_CL50_C
380,1.30623E-05,9.7373E-06,8.21645E-06,0,4.4747E-06,8.20617E-06,2.93651E-05,2.82803E-05,3.39674E-05,1.78803E-06,1.39699E-05,1.94338E-05,4.88697E-06,8.04731E-06,7.41699E-06,7.80299E-06,1.0529E-05,9.50599E-06,3.6484E-06,1.86965E-05,1.6988E-05,2.27795E-05,2.10129E-05,2.55746E-05,1.14912E-05,1.41181E-05,1.69819E-05
385,1.36616E-05,4.87985E-06,2.41547E-06,0,4.72908E-06,1.02713E-05,3.17001E-05,3.03749E-05,3.76248E-05,1.23251E-06,1.37299E-05,1.78172E-05,5.05581E-06,8.46414E-06,7.00333E-06,7.75343E-06,1.20597E-05,1.05511E-05,4.02232E-06,1.78018E-05,1.66304E-05,2.42506E-05,2.26804E-05,2.3239E-05,1.08762E-05,1.28443E-05,1.60011E-05
390,2.46223E-05,1.9578E-05,1.7621E-05,0,4.2018E-06,9.44247E-06,3.72173E-05,3.37843E-05,4.24655E-05,2.51122E-06,1.37062E-05,1.64362E-05,4.36201E-06,6.78412E-06,5.23216E-06,1.31933E-05,1.36312E-05,1.20766E-05,2.74186E-06,1.50537E-05,1.50499E-05,2.45082E-05,2.22646E-05,2.13264E-05,9.5457E-06,1.03017E-05,1.35579E-05
395,4.72638E-05,4.45041E-05,4.51816E-05,0,3.42907E-06,4.12668E-06,4.55483E-05,4.13121E-05,4.93094E-05,4.4514E-06,1.45955E-05,1.6109E-05,3.31424E-06,4.04275E-06,3.15824E-06,1.90805E-05,1.55049E-05,1.35173E-05,7.72773E-07,1.19768E-05,1.28325E-05,2.17079E-05,2.12059E-05,1.9943E-05,8.05306E-06,8.34806E-06,1.08012E-05
400,7.59452E-05,6.87973E-05,7.19229E-05,0,2.49637E-06,2.45587E-06,5.71818E-05,5.4879E-05,6.02123E-05,6.65779E-06,1.66222E-05,1.70693E-05,1.36119E-06,1.62075E-06,1.70878E-06,1.78001E-05,1.73481E-05,1.4865E-05,1.0903E-08,1.0135E-05,1.07285E-05,1.97627E-05,2.30985E-05,1.98551E-05,6.63338E-06,7.08791E-06,8.31692E-06
405,9.84791E-05,8.83758E-05,9.22372E-05,0,2.55575E-06,4.14219E-06,7.19122E-05,7.16848E-05,7.39842E-05,9.30114E-06,1.78421E-05,1.92408E-05,2.39198E-07,9.0618E-07,1.83267E-06,1.14369E-05,1.87477E-05,1.57617E-05,0,9.97957E-06,1.0116E-05,2.06141E-05,2.38813E-05,2.18755E-05,6.47102E-06,6.82523E-06,7.20303E-06
410,0.000102165,9.4017E-05,9.69368E-05,0,3.89552E-06,5.03084E-06,8.80508E-05,8.9258E-05,8.92579E-05,1.09374E-05,1.84923E-05,2.18645E-05,8.64679E-07,2.22397E-06,3.67832E-06,1.89284E-05,2.04306E-05,1.61321E-05,1.8645E-07,1.1355E-05,1.1393E-05,2.40446E-05,2.3754E-05,2.5001E-05,8.48233E-06,8.89269E-06,8.78668E-06
415,0.000107061,0.000102486,0.000104017,6.5131E-08,6.13551E-06,6.93353E-06,0.000106292,0.000107125,0.000106443,1.38365E-05,2.18289E-05,2.68155E-05,3.08725E-06,4.8931E-06,6.29461E-06,2.56853E-05,2.4593E-05,2.03621E-05,2.77524E-06,1.4215E-05,1.4348E-05,3.24911E-05,3.06137E-05,3.23933E-05,1.26282E-05,1.34455E-05,1.31723E-05
420,0.000127704,0.00012578,0.000126447,2.90143E-06,1.03632E-05,1.11085E-05,0.000124534,0.00012361,0.000123867,2.26082E-05,3.07778E-05,3.66413E-05,8.45887E-06,1.01031E-05,1.10138E-05,3.73933E-05,3.56637E-05,3.30262E-05,9.85693E-06,2.00223E-05,2.01318E-05,5.20767E-05,5.00715E-05,5.08379E-05,2.11525E-05,2.25205E-05,2.22681E-05
425,0.00019411,0.000193432,0.000194176,1.23173E-05,1.8943E-05,1.91649E-05,0.000140002,0.00013747,0.000138769,4.36912E-05,5.02725E-05,5.67686E-05,2.01708E-05,2.10263E-05,2.17434E-05,6.71679E-05,6.34891E-05,6.22193E-05,2.57791E-05,3.41372E-05,3.42669E-05,9.51625E-05,9.38069E-05,9.32812E-05,4.1814E-05,4.38105E-05,4.36586E-05
