Wavelength_nm,ZEB_lab_L_WL_100_C,ZEB_lab_L_NL_100_C,ZEB_lab_L_CL_100_C,ZEB_lab_H_WL_100_S,ZEB_lab_L_CL_100_S,ZEB_lab_F_WL_100_S,ZEB_lab_I_WL_100_S,ZEB_lab_D_CL_100_W
380,,,,,,,,
385,,,,,,,,
390,0,0,0,0.000191,0.000112,0.000127,0.000318,0.000212
395,0,0,8.50E-05,0.000193,0.000119,0.000137,0.000284,0.000392
400,7.50E-05,0,0.000203,0.000181,0.000106,0.000158,0.000291,0.000604
405,0.000213,0.000124,0.000439,0.000167,0.000101,0.000172,0.000299,0.000866
410,0.000409,0.000439,0.000822,0.000161,0.000144,0.000173,0.000311,0.001121
415,0.000698,0.000857,0.001325,0.000166,0.00025,0.00018,0.000331,0.001316
420,0.00113,0.001382,0.002075,0.000185,0.000415,0.000223,0.000379,0.00146
425,0.001683,0.002025,0.003215,0.000212,0.000624,0.000302,0.000456,0.001585
430,0.00232,0.002828,0.004827,0.000235,0.00086,0.000385,0.000533,0.001714
435,0.002968,0.003804,0.006884,0.000252,0.001092,0.00042,0.000583,0.001846
440,0.003529,0.004868,0.009133,0.000266,0.001278,0.000376,0.0006,0.001964
445,0.003869,0.005789,0.01108,0.000289,0.001375,0.000275,0.000596,0.002059
450,0.003887,0.006291,0.012156,0.000328,0.001366,0.000169,0.000604,0.002132
455,0.003566,0.006199,0.012033,0.000373,0.001259,0.000104,0.000644,0.002206
460,0.002991,0.005543,0.010778,0.000414,0.001089,9.10E-05,0.000724,0.002288
465,0.002335,0.004581,0.008919,0.000443,0.000904,0.00011,0.000827,0.002367
470,0.001751,0.003592,0.007015,0.000464,0.000748,0.00014,0.000933,0.002434
475,0.001365,0.002786,0.005437,0.000482,0.00065,0.000177,0.001021,0.002477
480,0.001218,0.002267,0.004311,0.0005,0.000618,0.000227,0.001079,0.002501
485,0.001287,0.002037,0.003614,0.000519,0.000634,0.000276,0.00111,0.002501
490,0.001542,0.002064,0.00333,0.000541,0.000683,0.000303,0.001135,0.002477
495,0.001945,0.002278,0.003445,0.00057,0.00075,0.000292,0.001176,0.002438
500,0.002478,0.002651,0.003969,0.000601,0.000832,0.000248,0.00124,0.002404
505,0.003103,0.003139,0.004771,0.000636,0.00092,0.000194,0.001323,0.002391
510,0.003772,0.00371,0.005695,0.000671,0.000996,0.00015,0.001412,0.002395
515,0.004454,0.004321,0.006602,0.000709,0.001047,0.000139,0.001497,0.002406
520,0.005089,0.00489,0.007388,0.00075,0.001072,0.00017,0.001575,0.002408
525,0.005684,0.005375,0.008028,0.000791,0.00108,0.000292,0.001642,0.002406
530,0.006241,0.005756,0.008499,0.000832,0.001091,0.000542,0.001694,0.002401
535,0.00675,0.006054,0.008782,0.000866,0.001114,0.000898,0.001736,0.002415
540,0.007204,0.006311,0.008921,0.000895,0.001142,0.001246,0.001771,0.002455
545,0.007598,0.006545,0.00897,0.00092,0.001165,0.001417,0.00181,0.002524
550,0.007977,0.006769,0.008984,0.000952,0.001178,0.001326,0.001868,0.002586
555,0.00836,0.006957,0.008992,0.000993,0.001186,0.001033,0.001957,0.002611
560,0.008757,0.007102,0.009011,0.001038,0.001191,0.000702,0.002071,0.002613
565,0.009165,0.007192,0.008991,0.001076,0.00119,0.000479,0.002189,0.00259
570,0.009563,0.007225,0.008855,0.001101,0.001175,0.000411,0.002294,0.002538
575,0.009921,0.007218,0.008554,0.001121,0.001142,0.000463,0.002388,0.002465
580,0.01019,0.007183,0.008112,0.001146,0.001095,0.000559,0.002477,0.002377
585,0.010349,0.007113,0.007616,0.001181,0.001041,0.000651,0.00256,0.002282
590,0.010428,0.006987,0.007168,0.001225,0.00099,0.000753,0.002638,0.002184
595,0.010475,0.006802,0.006813,0.001274,0.00095,0.000909,0.002713,0.002064
600,0.010492,0.006597,0.006526,0.001316,0.000924,0.001161,0.002785,0.001939
605,0.010442,0.006401,0.006243,0.001349,0.000902,0.001484,0.002852,0.001859
610,0.010285,0.006202,0.005921,0.001373,0.000878,0.001746,0.002902,0.00186
615,0.010013,0.005975,0.00555,0.001401,0.000849,0.001798,0.002937,0.001913
620,0.009623,0.005701,0.005141,0.001434,0.000817,0.001598,0.002958,0.001974
625,0.009092,0.005393,0.004735,0.001471,0.000775,0.001231,0.002984,0.002018
630,0.008425,0.005046,0.004352,0.001505,0.000716,0.000843,0.003018,0.002042
635,0.007615,0.004633,0.004006,0.001534,0.000633,0.000522,0.003062,0.002074
640,0.006796,0.004158,0.003664,0.001564,0.00054,0.000289,0.003125,0.002021
645,0.006053,0.00368,0.00333,0.001602,0.000454,0.000146,0.003219,0.001929
650,0.005431,0.003272,0.00302,0.001647,0.00039,8.10E-05,0.003342,0.001831
655,0.004935,0.002972,0.002741,0.001686,0.000347,7.00E-05,0.003481,0.001785
660,0.004525,0.002733,0.002453,0.001711,0.000317,8.30E-05,0.003614,0.001785
665,0.004185,0.002494,0.002155,0.00173,0.000296,9.80E-05,0.003721,0.001765
670,0.00386,0.002235,0.001875,0.001751,0.000278,0.000109,0.003785,0.001689
675,0.003492,0.001984,0.001657,0.001779,0.000258,0.000114,0.003795,0.001592
680,0.003048,0.001764,0.001504,0.001806,0.00023,0.000115,0.003766,0.001523
685,0.002557,0.001567,0.001367,0.001835,0.000192,0.00012,0.003758,0.00147
690,0.002093,0.001383,0.001212,0.001872,0.000149,0.000135,0.003825,0.001398
695,0.001744,0.001222,0.001041,0.001925,0.000109,0.000162,0.00398,0.001285
700,0.001544,0.001093,0.000909,0.00198,8.40E-05,0.00019,0.004157,0.001168
705,0.001464,0.000981,0.000859,0.002029,8.50E-05,0.000206,0.004275,0.001091
710,0.001426,0.000868,0.000861,0.002065,0.00011,0.000199,0.004293,0.001045
715,0.001335,0.000744,0.000812,0.002093,0.000135,0.000167,0.004262,0.000964
720,0.001149,0.000597,0.000624,0.00211,0.000132,0.000116,0.004264,0.000801
725,0.000902,0.000438,0.000368,0.002103,8.90E-05,6.50E-05,0.004328,0.000638
730,0.000672,0.000278,0.000179,0.00209,2.80E-05,2.80E-05,0.004438,0.000585
735,0.000537,0.000176,0.000178,0.002102,0,1.50E-05,0.004568,0.000679
740,0.00049,0.00016,0.000224,0.002171,6.00E-06,1.90E-05,0.0047,0.000806
745,0.000473,0.0002,0.000282,0.002266,4.20E-05,2.90E-05,0.004797,0.0009
750,0.00046,0.000278,0.000263,0.002345,6.90E-05,2.40E-05,0.004786,0.000875
755,0.000408,0.000311,0.000274,0.002333,6.00E-05,7.00E-06,0.004653,0.000784
760,0.000332,0.000244,0.000206,0.002281,4.00E-05,0,0.004524,0.00056
775,,,,,,,,
770,,,,,,,,
775,,,,,,,,
