Wavelength_nm,ZEB_lab_L_WL_100_C,ZEB_lab_L_NL_100_C,ZEB_lab_L_CL_100_C,ZEB_lab_H_WL_100_S,ZEB_lab_L_CL_100_S,ZEB_lab_F_WL_100_S,ZEB_lab_I_WL_100_S,ZEB_lab_D_CL_100_W
380,0.00000071,0.00000071,0.00000071,0.00000071,0.00000071,0.00000071,0.00000071,0.00000071
385,0.0000335,0.0000446,0.0000362,0.0000842,0.0000235,0.0000432,0.000143,0.0000357
390,0.000115,0.0000723,0.0000787,0.000126,0.0000444,0.0000538,0.000148,0.00012
395,0.000000606,0.00000305,0.00000934,0.0000143,0.000000606,0.000000606,0.0000198,0.0000552
400,0.000000554,0.000014,0.000000554,0.0000728,0.000000554,0.00000112,0.000127,0.0006
405,0.000000515,0.0000297,0.000058,0.000124,0.0000164,0.000561,0.000213,0.00101
410,0.000102,0.000109,0.000144,0.00022,0.000131,0.000117,0.000333,0.00136
415,0.000111,0.0000751,0.00019,0.0000924,0.0000348,0.000000497,0.000208,0.00152
420,0.000371,0.000366,0.000685,0.000116,0.000168,0.000000237,0.000268,0.00163
425,0.000963,0.00101,0.00168,0.000186,0.000457,0.0000229,0.00038,0.00183
430,0.0017,0.0019,0.00337,0.000155,0.000741,0.000000461,0.000366,0.00174
435,0.00265,0.00306,0.00548,0.000286,0.00122,0.00203,0.000499,0.00206
440,0.00351,0.00447,0.00839,0.000183,0.00146,0.0000191,0.000401,0.002
445,0.00459,0.0066,0.0127,0.000237,0.00163,0.0000169,0.000482,0.00221
450,0.00473,0.0084,0.0168,0.000276,0.00155,0.0000279,0.000585,0.00262
455,0.00329,0.00749,0.0152,0.000306,0.00118,0.0000341,0.000607,0.00274
460,0.00205,0.00501,0.0101,0.000352,0.000919,0.0000396,0.000704,0.00282
465,0.00134,0.00316,0.00644,0.000379,0.000669,0.000069,0.000735,0.00265
470,0.00099,0.00221,0.00442,0.00044,0.000582,0.000103,0.000802,0.00262
475,0.000589,0.00146,0.00285,0.000349,0.000422,0.0000134,0.000691,0.00257
480,0.000541,0.00114,0.00225,0.000377,0.000454,0.0000641,0.000781,0.00269
485,0.000543,0.00107,0.00201,0.000414,0.000519,0.000581,0.000817,0.00247
490,0.000676,0.00114,0.00211,0.000485,0.000636,0.000535,0.000886,0.00257
495,0.000847,0.00126,0.0023,0.000394,0.000602,0.000208,0.000792,0.00243
500,0.00133,0.00173,0.00291,0.000494,0.000728,0.000159,0.000887,0.00227
505,0.00179,0.00215,0.00361,0.000435,0.000703,0.00000774,0.000843,0.00216
510,0.00249,0.0027,0.0044,0.000425,0.00072,0.000000265,0.000866,0.00222
515,0.0032,0.00336,0.00518,0.000507,0.000821,0.0000231,0.000981,0.00215
520,0.00399,0.00395,0.00613,0.000519,0.000862,0.00000125,0.00104,0.00229
525,0.00465,0.00449,0.00681,0.00062,0.000952,0.0000458,0.00118,0.00243
530,0.00515,0.0048,0.00714,0.000647,0.000968,0.0000767,0.00125,0.00252
535,0.00534,0.00483,0.00713,0.000637,0.000938,0.000193,0.00124,0.00245
540,0.00537,0.00481,0.00697,0.000622,0.00089,0.00184,0.00123,0.00231
545,0.00552,0.00487,0.00694,0.000649,0.000886,0.00315,0.00127,0.00233
550,0.00579,0.00493,0.00693,0.000719,0.000933,0.00094,0.00137,0.00236
555,0.00625,0.00516,0.00691,0.000732,0.000918,0.000207,0.00144,0.00238
560,0.00672,0.00528,0.00699,0.000773,0.000945,0.0000531,0.00151,0.00237
565,0.00736,0.00563,0.00729,0.000831,0.000979,0.0000327,0.00162,0.00244
570,0.0079,0.00584,0.0073,0.000895,0.000999,0.0000375,0.00175,0.00242
575,0.00813,0.00588,0.00713,0.000933,0.001,0.000335,0.00181,0.0024
