Configuration ID,CCT_[K]_prof_sw,CCT_[K]_prof_Luxpy,CCT_[K]_low_Luxpy,E_[lx]_prof_sw,E_[lx]_prof_Luxpy,E_[lx]_prof_CIE,E_[lx]_low_Luxpy,CRI_[Ra]_prof_sw,CRI_[Ra]_prof_LuxPy,CRI_[Ra]_low_Luxpy,α-opic irr_L-cone_[W.m-2]_prof_LuxPy,α-opic irr_M-cone_[W.m-2]_prof_LuxPy,α-opic irr_S-cone_[W.m-2]_prof_LuxPy,α-opic irr_Rhodopic_[W.m-2]_prof_LuxPy,α-opic irr_Melanopic_[W.m-2]_prof_LuxPy,α-opic irr_L-cone_[W.m-2]_prof_CIE,α-opic irr_M-cone_[W.m-2]_prof_CIE,α-opic irr_S-cone_[W.m-2]_prof_CIE,α-opic irr_Rhodopic_[W.m-2]_prof_CIE,α-opic irr_Melanopic_[W.m-2]_prof_CIE,α-opic irr_L-cone_[W.m-2]_low_LuxPy,α-opic irr_M-cone_[W.m-2]_low_LuxPy,α-opic irr_S-cone_[W.m-2]_low_LuxPy,α-opic irr_Rhodopic_[W.m-2]_low_LuxPy,α-opic irr_Melanopic_[W.m-2]_low_LuxPy,α-opic irr_L-cone_[W.m-2]_low_CIE,α-opic irr_M-cone_[W.m-2]_low_CIE,α-opic irr_S-cone_[W.m-2]_low_CIE,α-opic irr_Rhodopic_[W.m-2]_low_CIE,α-opic irr_Melanopic_[W.m-2]_low_CIE,α-opic elr_L-cone_[mW.lm-1]_prof_LuxPy,α-opic elr_M-cone_[mW.lm-1]_prof_LuxPy,α-opic elr_S-cone_[mW.lm-1]_prof_LuxPy,α-opic elr_Rhodopic_[mW.lm-1]_prof_LuxPy,α-opic elr_Melanopic_[mW.lm-1]_prof_LuxPy,α-opic elr_L-cone_[mW.lm-1]_prof_CIE,α-opic elr_M-cone_[mW.lm-1]_prof_CIE,α-opic elr_S-cone_[mW.lm-1]_prof_CIE,α-opic elr_Rhodopic_[mW.lm-1]_prof_CIE,α-opic elr_Melanopic_[mW.lm-1]_prof_CIE,α-opic elr_L-cone_[mW.lm-1]_low_LuxPy,α-opic elr_M-cone_[mW.lm-1]_low_LuxPy,α-opic elr_S-cone_[mW.lm-1]_low_LuxPy,α-opic elr_Rhodopic_[mW.lm-1]_low_LuxPy,α-opic elr_Melanopic_[mW.lm-1]_low_LuxPy,α-opic elr_L-cone_[mW.lm-1]_low_CIE,α-opic elr_M-cone_[mW.lm-1]_low_CIE,α-opic elr_S-cone_[mW.lm-1]_low_CIE,α-opic elr_Rhodopic_[mW.lm-1]_low_CIE,α-opic elr_Melanopic_[mW.lm-1]_low_CIE,α-opic edi_L-cone_[lx]_prof_LuxPy,α-opic edi_M-cone_[lx]_prof_LuxPy,α-opic edi_S-cone_[lx]_prof_LuxPy,α-opic edi_Rhodopic_[lx]_prof_LuxPy,α-opic edi_Melanopic_[lx]_prof_LuxPy,α-opic edi_L-cone_[lx]_prof_CIE,α-opic edi_M-cone_[lx]_prof_CIE,α-opic edi_S-cone_[lx]_prof_CIE,α-opic edi_Rhodopic_[lx]_prof_CIE,α-opic edi_Melanopic_[lx]_prof_CIE,α-opic edi_L-cone_[lx]_low_LuxPy,α-opic edi_M-cone_[lx]_low_LuxPy,α-opic edi_S-cone_[lx]_low_LuxPy,α-opic edi_Rhodopic_[lx]_low_LuxPy,α-opic edi_Melanopic_[lx]_low_LuxPy,α-opic edi_L-cone_[lx]_low_CIE,α-opic edi_M-cone_[lx]_low_CIE,α-opic edi_S-cone_[lx]_low_CIE,α-opic edi_Rhodopic_[lx]_low_CIE,α-opic edi_Melanopic_[lx]_low_CIE
SENS_i-lab_F1_CL100_D,6832,6829.751178,6875.161968,22.1,22.11249374,22.10,26.20404625,83.5,84.17454537,83.85576203,0.04,0.03,0.02,0.03,0.03,0.04,0.03,0.02,0.03,0.03,0.04,0.04,0.02,0.04,0.03,0.04,0.04,0.02,0.04,0.03,1.5953,1.4411,0.8180,1.3346,1.1653,1.5945,1.4395,0.8125,1.3319,1.1653,1.5940,1.4494,0.8036,1.3400,1.1760,1.5933,1.4479,0.7983,1.3374,1.1760,0.9781,0.9945,0.9764,0.9225,0.8867,0.9781,0.9945,0.9767,0.9225,0.8867,0.9789,0.9888,0.9939,0.9187,0.8786,0.9789,0.9888,0.9942,0.9188,0.8787
SENS_i-lab_F2_CL100_D,6807,6805.107338,6918.812651,22.2,22.18159702,22.20,26.03660535,83.5,84.24158727,84.76349413,0.04,0.03,0.02,0.03,0.03,0.04,0.03,0.02,0.03,0.03,0.04,0.04,0.02,0.04,0.03,0.04,0.04,0.02,0.03,0.03,1.5952,1.4405,0.8143,1.3334,1.1636,1.5945,1.4390,0.8089,1.3307,1.1636,1.5933,1.4486,0.8118,1.3463,1.1792,1.5926,1.4470,0.8064,1.3436,1.1792,0.9777,0.9939,0.9864,0.9267,0.8891,0.9777,0.9940,0.9867,0.9268,0.8892,0.9789,0.9884,0.9894,0.9178,0.8773,0.9789,0.9884,0.9897,0.9179,0.8774
SENS_i-lab_F3_CL100_D,6811,6808.764703,6797.892281,22.2,22.22924912,22.20,26.47936521,83.8,84.37632508,84.68618479,0.04,0.03,0.02,0.03,0.03,0.04,0.03,0.02,0.03,0.03,0.04,0.04,0.02,0.04,0.03,0.04,0.04,0.02,0.04,0.03,1.5958,1.4406,0.8164,1.3350,1.1662,1.5951,1.4391,0.8109,1.3324,1.1662,1.5944,1.4450,0.7947,1.3379,1.1734,1.5936,1.4434,0.7894,1.3352,1.1733,0.9783,0.9915,0.9656,0.9210,0.8847,0.9783,0.9915,0.9658,0.9210,0.8847,0.9793,0.9885,0.9919,0.9190,0.8793,0.9792,0.9885,0.9922,0.9191,0.8793
SENS_i-lab_L1_WL100_D,2792,2792.153418,2971.73303,17.4,17.44391884,17.44,21.70567131,95,93.39828296,94.68310902,0.03,0.02,0.00,0.01,0.01,0.03,0.02,0.00,0.01,0.01,0.04,0.03,0.01,0.02,0.01,0.04,0.03,0.01,0.02,0.01,1.6524,1.1536,0.2375,0.7686,0.5810,1.6516,1.1523,0.2359,0.7671,0.5810,1.6493,1.1826,0.2805,0.8328,0.6477,1.6485,1.1813,0.2786,0.8311,0.6477,1.0139,0.7915,0.2886,0.5291,0.4380,1.0139,0.7915,0.2887,0.5292,0.4381,1.0120,0.8114,0.3408,0.5733,0.4884,1.0120,0.8114,0.3409,0.5733,0.4884
SENS_i-lab_L2_WL100_D,2808,2807.836876,2979.329614,17.2,17.19959804,17.20,21.72309845,95.3,93.29879976,94.02552012,0.03,0.02,0.00,0.01,0.01,0.03,0.02,0.00,0.01,0.01,0.04,0.03,0.01,0.02,0.01,0.04,0.03,0.01,0.02,0.01,1.6535,1.1567,0.2538,0.7795,0.5950,1.6528,1.1554,0.2521,0.7779,0.5950,1.6494,1.1835,0.2772,0.8295,0.6482,1.6487,1.1822,0.2754,0.8278,0.6482,1.0147,0.7936,0.3084,0.5366,0.4486,1.0147,0.7936,0.3085,0.5366,0.4487,1.0121,0.8121,0.3368,0.5710,0.4887,1.0121,0.8121,0.3369,0.5710,0.4887
SENS_i-lab_L3_WL100_D,2808,2808.27506,2885.774757,17,16.96300422,16.96,21.13933743,95.4,93.32763592,94.27279349,0.03,0.02,0.00,0.01,0.01,0.03,0.02,0.00,0.01,0.01,0.03,0.02,0.01,0.02,0.01,0.03,0.02,0.01,0.02,0.01,1.6541,1.1571,0.2568,0.7818,0.5984,1.6533,1.1558,0.2551,0.7803,0.5984,1.6537,1.1716,0.2638,0.8067,0.6277,1.6529,1.1703,0.2620,0.8051,0.6277,1.0150,0.7939,0.3120,0.5382,0.4512,1.0150,0.7939,0.3121,0.5382,0.4512,1.0147,0.8039,0.3205,0.5553,0.4733,1.0147,0.8039,0.3206,0.5554,0.4733
SENS_i-lab_I1_WL100_D,2970,2970.484928,3071.325017,38.3,38.34281534,38.34,49.36724479,96,97.35578785,97.70305163,0.06,0.05,0.01,0.03,0.03,0.06,0.05,0.01,0.03,0.03,0.08,0.06,0.01,0.04,0.04,0.08,0.06,0.01,0.04,0.04,1.6575,1.1964,0.2948,0.8895,0.7191,1.6567,1.1952,0.2928,0.8877,0.7191,1.6515,1.2059,0.3033,0.8986,0.7238,1.6507,1.2046,0.3013,0.8968,0.7238,1.0171,0.8209,0.3582,0.6123,0.5422,1.0171,0.8209,0.3583,0.6123,0.5422,1.0134,0.8274,0.3686,0.6186,0.5458,1.0134,0.8275,0.3687,0.6186,0.5458
SENS_i-lab_I2_WL100_D,2968,2967.786968,3052.522445,38.3,38.28195062,38.38,48.78167918,95.9,97.31544705,97.30384072,0.06,0.05,0.01,0.03,0.03,0.06,0.05,0.01,0.03,0.03,0.08,0.06,0.01,0.04,0.04,0.08,0.06,0.01,0.04,0.04,1.6577,1.1962,0.2949,0.8896,0.7193,1.6569,1.1949,0.2929,0.8878,0.7193,1.6513,1.2050,0.2846,0.8926,0.7178,1.6506,1.2037,0.2827,0.8908,0.7178,1.0172,0.8208,0.3583,0.6123,0.5423,1.0172,0.8208,0.3584,0.6124,0.5424,1.0133,0.8268,0.3457,0.6144,0.5412,1.0133,0.8268,0.3458,0.6145,0.5412
SENS_i-lab_I3_WL100_D,2965,2964.604378,3064.061743,38.1,38.09699094,38.10,49.3102176,95.9,97.34526763,97.61728311,0.06,0.05,0.01,0.03,0.03,0.06,0.05,0.01,0.03,0.03,0.08,0.06,0.01,0.04,0.04,0.08,0.06,0.01,0.04,0.04,1.6578,1.1957,0.2949,0.8887,0.7186,1.6571,1.1944,0.2929,0.8869,0.7186,1.6519,1.2076,0.2891,0.8989,0.7250,1.6512,1.2063,0.2871,0.8971,0.7250,1.0173,0.8204,0.3583,0.6117,0.5418,1.0173,0.8204,0.3584,0.6118,0.5418,1.0137,0.8286,0.3512,0.6188,0.5466,1.0137,0.8286,0.3513,0.6188,0.5467
SENS_i-lab_L1_WL100_C,2872,2872.329217,2990.503757,39,38.99125103,38.99,48.38550769,83.4,85.14437061,86.43104623,0.06,0.05,0.01,0.03,0.02,0.06,0.05,0.01,0.03,0.02,0.08,0.06,0.01,0.04,0.03,0.08,0.06,0.01,0.04,0.03,1.6493,1.1569,0.2593,0.7447,0.5606,1.6486,1.1557,0.2576,0.7432,0.5606,1.6453,1.1759,0.2620,0.7756,0.5914,1.6446,1.1747,0.2603,0.7740,0.5914,1.0121,0.7938,0.3151,0.5126,0.4226,1.0121,0.7938,0.3152,0.5126,0.4227,1.0096,0.8069,0.3184,0.5339,0.4459,1.0096,0.8069,0.3184,0.5339,0.4459
